element,precision,recall,f1,bleu,proportion,total_seconds,avg_seconds_per_doc,median_seconds_per_doc,docs_per_minute
population,0.9076456515620602,0.9583333333333334,0.9088942606104672,,,,,,
intervention,0.5429166666666667,0.8166666666666667,0.5749120082815735,,,,,,
comparator,0.95,0.95,0.95,,,,,,
outcome,0.9016991341991341,0.9742424242424242,0.9269716507156343,,,,,,
SUMMARY_ROUGE-1,0.7988153898602259,0.9080804363833662,0.8330124083139866,,,,,,
SUMMARY_ROUGE-2,0.768481095662352,0.86337143450802,0.7982872302191939,,,,,,
SUMMARY_ROUGE-L,0.7799698987559097,0.8816460354937856,0.8123879319766969,,,,,,
SUMMARY_BLEU,,,,0.696942360351163,,,,,
PROPORTION_ALL_PICO_PARTIAL_CORRECT,,,,,0.6,,,,
PROCESSING_TIME,,,,,,7.205643177032471,0.3602821588516235,0.18936586380004883,
BATCH_THROUGHPUT,,,,,,,,,166.5361398722773
